Year,District,Season,Sown_Extent,Harvested_Extent,Waterfed_Major,Waterfed_Minor,Rainfed,Yield_Extent
1983,COLOMBO,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,1779.0
1983,GAMPAHA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,2827.0
1983,KALUTARA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,2177.0
1983,KANDY,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3087.0
1983,MATALE,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3400.0
1983,NUWARA ELIYA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,4129.0
1983,GALLE,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,1361.0
1983,MATARA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,2249.0
1983,HAMBANTOTA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,4222.0
1983,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3830.0
1983,MANNAR,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,4297.0
1983,VAVUNIYA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3762.0
1983,MULLATIVU,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,2908.0
1983,KILINOCHCHI,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
1983,BATTICALOA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3553.0
1983,AMPARA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,4304.0
1983,TRINCOMALEE,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3781.0
1983,KURUNEGALA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3300.0
1983,PUTTALAM,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,2911.0
1983,ANURADHAPURA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3597.0
1983,POLONNARUWA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,4438.0
1983,BADULLA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3709.0
1983,MONARAGALA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3836.0
1983,RATNAPURA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3135.0
1983,KEGALLE,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3350.0
1983,UDAWALAWE,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,5229.0
1983,MAHAWELI  'H',Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,4173.0
1984,COLOMBO,Yala,5824.0,5507.0,3866.2728350515463,4986.0,4986.0,4986.0
1984,GAMPAHA,Yala,12556.0,12271.0,3379.0,12209.0,12209.0,12209.0
1984,KALUTARA,Yala,17127.0,15635.0,3866.2728350515463,16898.0,16898.0,16898.0
1984,KANDY,Yala,14290.0,14289.0,3320.0,14160.0,14160.0,14160.0
1984,MATALE,Yala,5907.0,5839.0,3510.0,4399.0,4399.0,4399.0
1984,NUWARA ELIYA,Yala,3707.0,3566.0,4624.0,3742.0,3742.0,3742.0
1984,GALLE,Yala,20095.0,19138.0,3866.2728350515463,19847.0,19847.0,19847.0
1984,MATARA,Yala,18668.0,18525.0,3046.0,17696.0,17696.0,17696.0
1984,HAMBANTOTA,Yala,16556.0,15650.0,3539.0,12592.0,12592.0,12592.0
1984,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
1984,MANNAR,Yala,826.0,773.0,3058.0,393.0,393.0,393.0
1984,VAVUNIYA,Yala,4513.0,4513.0,3291.0,150.0,150.0,150.0
1984,MULLATIVU,Yala,3522.0,3522.0,3147.0,1105.0,1105.0,1105.0
1984,KILINOCHCHI,Yala,7721.0,7721.0,2978.0,5695.0,5695.0,5695.0
1984,BATTICALOA,Yala,12097.0,11959.0,3890.0,11053.0,11053.0,11053.0
1984,AMPARA,Yala,38594.0,38380.0,4158.0,36593.0,36593.0,36593.0
1984,TRINCOMALEE,Yala,16022.0,16003.0,3856.0,11139.0,11139.0,11139.0
1984,KURUNEGALA,Yala,61234.0,60958.0,2999.0,40697.0,40697.0,40697.0
1984,PUTTALAM,Yala,6414.0,6147.0,2642.0,4942.0,4942.0,4942.0
1984,ANURADHAPURA,Yala,25287.0,24954.0,3021.0,9847.0,9847.0,9847.0
1984,POLONNARUWA,Yala,26286.0,26228.0,3913.0,23662.0,23662.0,23662.0
1984,BADULLA,Yala,10370.0,10162.0,2965.0,9762.0,9762.0,9762.0
1984,MONARAGALA,Yala,5212.0,5171.0,3502.0,3807.0,3807.0,3807.0
1984,RATNAPURA,Yala,14499.0,14156.0,3609.0,14706.0,14706.0,14706.0
1984,KEGALLE,Yala,10971.0,10882.0,3866.2728350515463,11004.0,11004.0,11004.0
1984,UDAWALAWE,Yala,11179.0,10973.0,3338.0,11155.0,11155.0,11155.0
1984,MAHAWELI  'H',Yala,14292.0,13954.0,2912.0,9709.0,9709.0,9709.0
1985,COLOMBO,Yala,4986.0,4785.0,3866.2728350515463,3512.0,2438.0,2478.0
1985,GAMPAHA,Yala,12209.0,12106.0,3078.0,2473.0,2779.0,2803.0
1985,KALUTARA,Yala,16898.0,15967.0,3866.2728350515463,2304.0,1730.0,1815.0
1985,KANDY,Yala,14160.0,14154.0,3696.0,3190.0,2933.0,3200.0
1985,MATALE,Yala,4399.0,4292.0,2704.0,3029.0,2853.0,2943.0
1985,NUWARA ELIYA,Yala,3742.0,3624.0,3912.0,3747.0,3005.414551607445,3774.0
1985,GALLE,Yala,19847.0,19648.0,3866.2728350515463,624.0,1925.0,1924.0
1985,MATARA,Yala,17696.0,17487.0,2701.0,2509.0,2378.0,2459.0
1985,HAMBANTOTA,Yala,12592.0,12580.0,4005.0,3700.0,3407.0,3930.0
1985,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
1985,MANNAR,Yala,393.0,364.0,3650.0,3388.6953165208442,3005.414551607445,3650.0
1985,VAVUNIYA,Yala,150.0,129.0,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
1985,MULLATIVU,Yala,1105.0,1096.0,2976.0,3462.0,3005.414551607445,3056.0
1985,KILINOCHCHI,Yala,5695.0,5687.0,4012.0,3388.6953165208442,3005.414551607445,4012.0
1985,BATTICALOA,Yala,11053.0,11017.0,3737.0,2617.0,4134.0,3771.0
1985,AMPARA,Yala,36593.0,36490.0,4576.0,3401.0,3005.414551607445,4567.0
1985,TRINCOMALEE,Yala,11139.0,9328.0,3936.0,2647.0,3005.414551607445,3881.0
1985,KURUNEGALA,Yala,40697.0,39010.0,2990.0,2658.0,3250.0,2989.0
1985,PUTTALAM,Yala,4942.0,4792.0,2896.0,2689.0,2892.0,2834.0
1985,ANURADHAPURA,Yala,9847.0,9765.0,3996.0,2802.0,3005.414551607445,3756.0
1985,POLONNARUWA,Yala,23662.0,23657.0,4437.0,2719.0,3005.414551607445,4396.0
1985,BADULLA,Yala,9762.0,9738.0,3361.0,3794.0,3005.414551607445,3511.0
1985,MONARAGALA,Yala,3807.0,3483.0,3118.0,3551.0,3005.414551607445,3324.0
1985,RATNAPURA,Yala,14706.0,14553.0,4134.0,2968.0,2456.0,2841.0
1985,KEGALLE,Yala,11004.0,10905.0,3866.2728350515463,3398.0,3405.0,3472.0
1985,UDAWALAWE,Yala,11155.0,11152.0,3859.0,3388.6953165208442,3005.414551607445,3859.0
1985,MAHAWELI  'H',Yala,9709.0,9633.0,3241.0,3388.6953165208442,3005.414551607445,3241.0
1986,COLOMBO,Yala,5728.0,5651.0,3866.2728350515463,3100.0,2808.0,2841.0
1986,GAMPAHA,Yala,10270.0,10010.0,2347.0,2685.0,2836.0,2764.0
1986,KALUTARA,Yala,16767.0,16485.0,2387.0,2712.0,2190.0,2264.0
1986,KANDY,Yala,15345.0,15343.0,3670.0,2922.0,2787.0,3090.0
1986,MATALE,Yala,6528.0,6153.0,2660.0,2917.0,2486.0,2761.0
1986,NUWARA ELIYA,Yala,3857.0,3500.0,2923.0,3451.0,3005.414551607445,3386.0
1986,GALLE,Yala,20454.0,20295.0,3866.2728350515463,4118.0,2071.0,2073.0
1986,MATARA,Yala,18211.0,17863.0,3062.0,3027.0,2441.0,2676.0
1986,HAMBANTOTA,Yala,15326.0,15012.0,4134.0,3552.0,3418.0,4026.0
1986,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
1986,MANNAR,Yala,367.0,364.0,2876.0,2594.0,3005.414551607445,2829.0
1986,VAVUNIYA,Yala,1447.0,1397.0,3247.0,4732.0,3005.414551607445,3913.0
1986,MULLATIVU,Yala,3057.0,3027.0,2828.0,2417.0,3005.414551607445,2737.0
1986,KILINOCHCHI,Yala,7758.0,7485.0,3946.0,3388.6953165208442,3005.414551607445,3946.0
1986,BATTICALOA,Yala,14257.0,14090.0,3705.0,2929.0,3194.0,3618.0
1986,AMPARA,Yala,43489.0,43315.0,4133.0,3188.0,3005.414551607445,4133.0
1986,TRINCOMALEE,Yala,5219.0,5203.0,3796.0,2748.0,3005.414551607445,3737.0
1986,KURUNEGALA,Yala,48157.0,22349.0,3394.0,2449.0,2130.0,2811.0
1986,PUTTALAM,Yala,5333.0,3954.0,2858.0,1790.0,2641.0,2534.0
1986,ANURADHAPURA,Yala,13865.0,12784.0,3616.0,3374.0,3005.414551607445,3555.0
1986,POLONNARUWA,Yala,28862.0,28703.0,3948.0,3585.0,3005.414551607445,3943.0
1986,BADULLA,Yala,7633.0,7574.0,3632.0,3939.0,3005.414551607445,3761.0
